County,Cases1,Deaths2
Baker,1037,15
Benton,3282,22
Clackamas,19058,235
Clatsop,1069,9
Columbia,1949,29
Coos,2189,38
Crook,1302,23
Curry,743,12
Deschutes,10095,82
Douglas,3960,83
Gilliam,81,1
Grant,552,7
Harney,437,10
Hood River,1226,33
Jackson,11626,147
Jefferson,2389,39
Josephine,3655,72
Klamath,4794,78
Lake,470,8
Lane,14027,167
Lincoln,1457,21
Linn,5724,81
Malheur,3624,63
Marion,23589,325
Morrow,1164,16
Multnomah,40558,615
Polk,4038,56
Sherman,70,1
Tillamook,670,4
Umatilla,8666,87
Union,1508,24
Wallowa,196,5
Wasco,1458,30
Washington,26939,252
Wheeler,35,1
Yamhill,4809,79
Total,208446,2770
