County,Total Cases1,Total deaths2,,,,
Baker,1010,15,,,,
Benton,3259,22,,,,
Clackamas,18905,235,,,,
Clatsop,1050,9,,,,
Columbia,1915,29,,,,
Coos,2166,37,,,,
Crook,1291,23,,,,
Curry,705,11,,,,
Deschutes,10002,82,,,,
Douglas,3873,82,,,,
Gilliam,80,1,,,,
Grant,550,7,,,,
Harney,431,9,,,,
Hood River,1216,33,,,,
Jackson,11529,146,,,,
Jefferson,2367,39,,,,
Josephine,3588,72,,,,
Klamath,4775,78,,,,
Lake,467,8,,,,
Lane,13877,163,,,,
Lincoln,1430,21,,,,
Linn,5594,80,,,,
Malheur,3614,63,,,,
Marion,23404,323,,,,
Morrow,1153,16,,,,
Multnomah,40316,614,,,,
Polk,3989,56,,,,
Sherman,67,1,,,,
Tillamook,660,4,,,,
Umatilla,8593,87,,,,
Union,1495,24,,,,
Wallowa,194,5,,,,
Wasco,1443,30,,,,
Washington,26760,248,,,,
Wheeler,35,1,,,,
Yamhill,4775,79,,,,
Total,206578,2753,,,,
