County,Total Cases1,Total deaths2
Baker,612,7
Benton,2171,16
Clackamas,13040,169
Clatsop,761,6
Columbia,1177,21
Coos,1270,17
Crook,743,18
Curry,368,6
Deschutes,5692,56
Douglas,2140,51
Gilliam,53,1
Grant,220,1
Harney,243,6
Hood River,1047,29
Jackson,7893,106
Jefferson,1882,27
Josephine,2185,47
Klamath,2714,54
Lake,350,6
Lane,9805,121
Lincoln,1115,18
Linn,3491,54
Malheur,3301,58
Marion,17958,276
Morrow,1015,13
Multnomah,31137,512
Polk,2908,42
Sherman,52,0
Tillamook,393,2
Umatilla,7453,79
Union,1243,19
Wallowa,134,4
Wasco,1210,25
Washington,20599,207
Wheeler,22,1
Yamhill,3637,62
Total,150034,2137
