County,Cases1,Deaths2,Negatives3
Baker,120,3,2215
Benton,442,6,17966
Clackamas,3139,65,74620
Clatsop,243,0,6690
Columbia,266,1,8542
Coos,246,0,8799
Crook,109,2,3089
Curry,57,1,2342
Deschutes,1132,13,38012
Douglas,350,6,15298
Gilliam,11,0,360
Grant,11,0,1035
Harney,23,0,941
Hood River,277,1,5832
Jackson,1684,6,41024
Jefferson,604,9,5574
Josephine,267,3,14423
Klamath,411,3,11766
Lake,37,0,1054
Lane,2392,27,80655
Lincoln,517,13,9778
Linn,810,15,20557
Malheur,1917,38,6252
Marion,5858,108,59385
Morrow,545,6,2044
Multnoma,0,0,1
Multnomah,9228,160,173930
Polk,654,15,11734
Sherman,19,0,385
Tillamook,70,0,3585
Umatilla,3354,44,15306
Union,467,2,5084
Unknown,0,0,12
Wallowa,44,2,1195
Wasco,347,15,5898
Washington,5790,76,111232
wasshington,0,0,1
Wheeler,1,0,185
Yamhill,994,15,21047
Total,42436,655,787848
