County,Positive,Deaths,Negative
Baker,0,0,81
Benton,36,5,1473
Clackamas,226,7,5881
Clatsop,8,0,523
Columbia,14,0,781
Coos,27 ,0,648
Crook,1,0,235
Curry,4,0,180
Deschutes,79,0,2208
Douglas,24,0,1185
Gilliam,0,0,22
Grant,1,0,54
Harney,1,0,70
Hood River,10,0,528
Jackson,49,0,4315
Jefferson,14,0,350
Josephine,22,1,1152
Klamath,39,0,2212
Lake,0,0,72
Lane,55,2,4047
Lincoln,5,0,632
Linn,97,7,2059
Malheur,13,0,266
Marion,561,19,4601
Morrow,9,0,92
Multnomah,754,46,13785
Polk,49,2,908
Sherman,1,0,32
Tillamook,6,0,337
Umatilla,70,1,743
Union,4,0,131
Wallowa,1,0,38
Wasco,13,1,639
Washington,526,11,8886
Wheeler,0,0,13
Yamhill,40,7,1518
Total,2759,109,60697
