County,Cases1,Total deaths2,Negative tests3
Baker,13,0,715
Benton,128,6,7164
Clackamas,1130,30,31211
Clatsop,62,0,3058
Columbia,61,0,3679
Coos,69,0,3276
Crook,27,1,1298
Curry,10,0,849
Deschutes,352,1,13896
Douglas,85,1,6445
Gilliam,2,0,135
Grant,1,0,440
Harney,2,0,476
Hood River,130,0,3064
Jackson,238,0,15290
Jefferson,199,0,2538
Josephine,70,1,5494
Klamath,150,1,6047
Lake,28,0,373
Lane,394,3,31856
Lincoln,369,8,5528
Linn,200,10,8709
Malheur,489,5,2578
Marion,2140,60,23519
Morrow,194,1,905
Multnomah,3486,75,71640
Polk,205,12,3691
Sherman,8,0,203
Tillamook,23,0,1733
Umatilla,1340,9,6624
Union,383,2,2092
Wallowa,18,1,550
Wasco,130,3,2767
Washington,2208,21,45340
Wheeler,0,0,131
Yamhill,235,9,7697
Total,14579,260,321011
