County,Cases1,Deaths2
Baker,666,9
Benton,2356,17
Clackamas,13449,190
Clatsop,778,6
Columbia,1277,21
Coos,1545,21
Crook,780,18
Curry,431,6
Deschutes,6001,63
Douglas,2550,55
Gilliam,54,1
Grant,227,1
Harney,277,6
Hood River,1070,29
Jackson,8525,116
Jefferson,1976,30
Josephine,2387,55
Klamath,2805,55
Lake,382,6
Lane,10343,129
Lincoln,1137,20
Linn,3609,57
Malheur,3354,58
Marion,18579,287
Morrow,1050,14
Multnomah,31987,550
Polk,3077,44
Sherman,53,0
Tillamook,422,2
Umatilla,7696,82
Union,1303,19
Wallowa,143,5
Wasco,1221,26
Washington,21345,216
Wheeler,22,1
Yamhill,3796,69
Total,156673,2284
