Hospital_capacity_and_usage_as_reported_to_HOSCAP,Available,Total
Adult ICU beds,328,751
Adult non-ICU beds,2134,6974
Pediatric NICU/PICU beds,85,198
Pediatric non-ICU beds,187,287
Ventilators,794,
