County,Cases1,Deaths2
Baker,583,5
Benton,1846,14
Clackamas,12186,142
Clatsop,718,5
Columbia,1082,18
Coos,1021,16
Crook,669,14
Curry,327,5
Deschutes,5283,41
Douglas,1805,47
Gilliam,53,1
Grant,217,1
Harney,190,6
Hood River,994,23
Jackson,7234,97
Jefferson,1739,25
Josephine,1868,36
Klamath,2568,48
Lake,260,5
Lane,8850,113
Lincoln,1044,17
Linn,3229,50
Malheur,3217,55
Marion,16840,250
Morrow,968,10
Multnomah,29403,466
Polk,2599,40
Sherman,48,0
Tillamook,373,2
Umatilla,7028,74
Union,1158,17
Wallowa,100,3
Wasco,1127,23
Washington,19370,183
Wheeler,20,1
Yamhill,3338,51
Total,139355,1904
