County,Cases1,Deaths2,Negatives3
Baker,95,2,1783
Benton,322,6,13340
Clackamas,2448,62,61650
Clatsop,218,0,5618
Columbia,182,1,7036
Coos,158,0,7019
Crook,63,1,2583
Curry,31,0,1833
Deschutes,859,12,30108
Douglas,239,4,12937
Gilliam,8,0,281
Grant,10,0,900
Harney,12,0,817
Hood River,252,0,5023
Jackson,1171,5,33890
Jefferson,545,8,4807
Josephine,203,2,11979
Klamath,290,2,10262
Lake,33,0,893
Lane,1267,17,64720
Lincoln,481,13,8690
Linn,525,13,16602
Malheur,1642,30,5290
Marion,4743,95,48190
Morrow,509,6,1777
Multnomah,7257,140,142946
Polk,535,15,9075
Sherman,18,0,338
Tillamook,53,0,3074
Umatilla,2998,41,13206
Union,446,2,3697
Wallowa,32,1,992
Wasco,296,3,5116
Washington,4581,60,92206
Wheeler,0,0,163
Yamhill,769,14,17251
Total,33291,555,646092
