County,Cases1,Deaths2
Baker,599,7
Benton,1995,14
Clackamas,12701,153
Clatsop,745,5
Columbia,1127,20
Coos,1147,17
Crook,702,15
Curry,337,5
Deschutes,5484,47
Douglas,1919,48
Gilliam,53,1
Grant,217,1
Harney,206,6
Hood River,1026,25
Jackson,7641,105
Jefferson,1801,25
Josephine,2052,36
Klamath,2665,52
Lake,283,6
Lane,9383,114
Lincoln,1086,18
Linn,3375,50
Malheur,3272,56
Marion,17497,266
Morrow,989,12
Multnomah,30416,481
Polk,2773,41
Sherman,52,0
Tillamook,383,2
Umatilla,7277,76
Union,1203,18
Wallowa,113,3
Wasco,1181,24
Washington,20106,191
Wheeler,22,1
Yamhill,3492,57
Total,145320,1998
