County,TotalCases1,Totaldeaths2
Baker,699,12
Benton,2499,18
Clackamas,13889,196
Clatsop,807,7
Columbia,1308,24
Coos,1795,24
Crook,796,18
Curry,514,8
Deschutes,6173,70
Douglas,2781,58
Gilliam,54,1
Grant,262,2
Harney,283,6
HoodRiver,1076,29
Jackson,8955,120
Jefferson,2002,31
Josephine,2650,59
Klamath,2907,56
Lake,394,6
Lane,10564,139
Lincoln,1178,20
Linn,3734,59
Malheur,3384,58
Marion,19076,295
Morrow,1055,14
Multnomah,32668,557
Polk,3155,48
Sherman,53,0
Tillamook,465,2
Umatilla,7816,82
Union,1348,20
Wallowa,145,5
Wasco,1236,27
Washington,21914,221
Wheeler,25,1
Yamhill,3871,70
Total,161531,2363
