County,Total Cases1,Total deaths2
Baker,962,15
Benton,3157,21
Clackamas,17959,216
Clatsop,1003,8
Columbia,1789,29
Coos,2125,35
Crook,1173,22
Curry,660,10
Deschutes,9390,78
Douglas,3417,72
Gilliam,63,1
Grant,528,6
Harney,363,8
Hood River,1199,31
Jackson,11096,141
Jefferson,2259,37
Josephine,3420,71
Klamath,4602,70
Lake,461,7
Lane,13313,150
Lincoln,1395,21
Linn,5205,72
Malheur,3544,63
Marion,22501,312
Morrow,1121,16
Multnomah,39069,596
Polk,3832,53
Sherman,58,1
Tillamook,658,3
Umatilla,8328,86
Union,1455,23
Wallowa,187,5
Wasco,1405,28
Washington,26056,234
Wheeler,33,1
Yamhill,4570,76
Total,198356,2618
