County,Cases1,Deaths2,Negatives3
Baker,223,3,2633
Benton,624,7,20670
Clackamas,4659,74,86529
Clatsop,303,0,7669
Columbia,358,2,9696
Coos,342,1,10294
Crook,168,5,3708
Curry,83,2,2628
Deschutes,1680,14,44343
Douglas,628,10,17343
Gilliam,19,0,405
Grant,66,0,1224
Harney,65,0,1103
Hood River,323,1,6389
Jackson,2900,10,47128
Jefferson,686,11,6299
Josephine,348,4,16580
Klamath,528,3,12803
Lake,65,0,1191
Lane,3298,34,90523
Lincoln,544,13,10947
Linn,1106,17,23356
Malheur,2182,38,6945
Marion,7600,124,69382
Morrow,594,7,2300
Multnomah,12930,196,201152
Polk,906,15,14034
Sherman,23,0,434
Tillamook,102,0,4005
Umatilla,3883,47,16898
Union,621,2,5793
Unknown,0,0,1
Wallowa,69,2,1382
Wasco,417,17,6611
Washington,7937,91,128223
Wheeler,1,0,202
Yamhill,1365,15,24512
Total,57646,765,905336
