County,Cases1,Deaths2,Negatives3
Baker,22,0,818
Benton,136,6,7785
Clackamas,1283,34,35478
Clatsop,68,0,3300
Columbia,70,0,4052
Coos,80,0,3670
Crook,33,1,1583
Curry,13,0,938
Deschutes,471,3,16062
Douglas,117,1,7329
Gilliam,3,0,146
Grant,2,0,479
Harney,7,0,525
Hood River,151,0,3380
Jackson,302,0,17314
Jefferson,267,0,2864
Josephine,84,1,6116
Klamath,180,1,6620
Lake,31,0,423
Lane,455,3,37852
Lincoln,381,8,6418
Linn,224,10,9894
Malheur,584,8,2828
Marion,2437,65,27082
Morrow,250,1,1019
Multnomah,4039,82,80882
Polk,254,12,4274
Sherman,8,0,233
Tillamook,24,0,1883
Umatilla,1723,16,7877
Union,385,2,2261
Wallowa,18,1,603
Wasco,147,3,3046
Washington,2553,22,51673
Wheeler,0,0,133
Yamhill,286,9,8638
Total,17088,289,365478
