County,Cases1,Deaths2,Negatives3
Baker,227,3,2634
Benton,637,7,20911
Clackamas,4745,75,87208
Clatsop,308,0,7715
Columbia,365,2,9753
Coos,347,1,10366
Crook,168,5,3718
Curry,87,2,2636
Deschutes,1711,14,44576
Douglas,665,11,17475
Gilliam,19,0,413
Grant,66,0,1231
Harney,70,0,1106
Hood River,327,1,6423
Jackson,2959,10,47385
Jefferson,713,11,6327
Josephine,350,4,16643
Klamath,553,3,12829
Lake,69,0,1193
Lane,3341,35,90919
Lincoln,546,13,11067
Linn,1122,18,23533
Malheur,2188,38,6968
Marion,7747,127,70101
Morrow,595,7,2319
Multnomah,13138,200,202432
Polk,930,15,14172
Sherman,23,0,435
Tillamook,105,0,4027
Umatilla,3924,48,16970
Union,627,2,5814
Wallowa,70,2,1388
Wasco,422,17,6649
Washington,8020,92,129052
Wheeler,1,0,203
Yamhill,1385,15,24660
Total,58570,778,911252
