County,Cases1,Deaths2
Baker,975,15
Benton,3204,22
Clackamas,18385,223
Clatsop,1011,8
Columbia,1840,29
Coos,2146,36
Crook,1209,22
Curry,672,10
Deschutes,9689,79
Douglas,3588,78
Gilliam,64,1
Grant,536,6
Harney,394,8
Hood River,1205,32
Jackson,11283,145
Jefferson,2326,38
Josephine,3488,72
Klamath,4699,73
Lake,463,7
Lane,13560,154
Lincoln,1403,21
Linn,5369,77
Malheur,3570,63
Marion,22936,318
Morrow,1135,16
Multnomah,39640,606
Polk,3889,53
Sherman,63,1
Tillamook,663,4
Umatilla,8427,86
Union,1468,23
Wallowa,189,5
Wasco,1424,28
Washington,26394,238
Wheeler,34,1
Yamhill,4655,78
Total,201996,2676
