County,Positive,Deaths,Negative
Baker,0,0,10
Benton,9,0,313
Clackamas,40,3,1048
Clatsop,3,0,99
Columbia,1,0,115
Coos,0,0,145
Crook,0,0,12
Curry,0,0,41
Deschutes,25,0,221
Douglas,8,0,223
Gilliam,0,0,4
Grant,1,0,4
Harney,0,0,26
Hood River,2,0,122
Jackson,20,0,1605
Jefferson,0,0,11
Josephine,10,0,197
Klamath,4,0,106
Lake,0,0,18
Lane,12,1,534
Lincoln,1,0,66
Linn,36,2,687
Malheur,0,0,44
Marion,123,3,1177
Morrow,1,0,22
Multnomah,100,2,2922
Polk,15,0,256
Sherman,0,0,3
Tillamook,3,0,66
Umatilla,4,0,122
Union,1,0,23
Wallowa,0,0,3
Wasco,5,0,94
Washington,168,3,1548
Wheeler,0,0,1
Yamhill,14,2,389
Total,606,16,12277
