County,Cases1,Deaths2,Negatives3
Baker,38,0,1054
Benton,164,6,8652
Clackamas,1500,39,39945
Clatsop,84,0,3722
Columbia,91,0,4540
Coos,90,0,4069
Crook,43,1,1766
Curry,14,0,1062
Deschutes,582,9,18724
Douglas,148,1,8240
Gilliam,4,0,195
Grant,4,0,538
Harney,10,0,579
Hood River,181,0,3769
Jackson,447,2,19562
Jefferson,346,4,3359
Josephine,113,2,6969
Klamath,201,2,7442
Lake,32,0,527
Lane,565,3,43098
Lincoln,412,9,6884
Linn,271,10,11060
Malheur,755,13,3409
Marion,2837,69,31471
Morrow,349,3,1186
Multnomah,4762,93,92208
Polk,308,12,5186
Sherman,15,0,263
Tillamook,34,0,2115
Umatilla,2221,27,9368
Union,394,2,2517
Wallowa,19,1,705
Wasco,181,3,3682
Washington,2991,24,59048
Wheeler,0,0,137
Yamhill,429,13,9995
Total,20636,348,417057
