County,Cases1,Deaths2,Negatives3
Baker,55,1,1289
Benton,194,6,9697
Clackamas,1756,55,46764
Clatsop,92,0,4290
Columbia,120,1,5236
Coos,93,0,4762
Crook,54,1,2046
Curry,19,0,1192
Deschutes,655,11,21557
Douglas,168,2,9453
Gilliam,4,0,230
Grant,4,0,623
Harney,11,0,647
Hood River,221,0,4166
Jackson,636,2,22087
Jefferson,430,6,3875
Josephine,149,2,7987
Klamath,219,2,8175
Lake,32,0,601
Lane,643,4,48594
Lincoln,444,11,7330
Linn,350,12,12396
Malheur,963,16,3840
Marion,3369,73,35980
Morrow,415,3,1374
Multnomah,5505,108,108008
Polk,379,13,6307
Sherman,17,0,288
Tillamook,37,0,2367
Umatilla,2497,32,10512
Union,406,2,2791
Wallowa,21,1,767
Wasco,205,3,4078
Washington,3452,32,69953
Wheeler,0,0,146
Yamhill,550,13,12794
Total,24165,412,482202
