County,Cases1,Deaths2
Baker,611,7
Benton,2083,14
Clackamas,12947,154
Clatsop,759,6
Columbia,1152,21
Coos,1227,17
Crook,723,16
Curry,358,6
Deschutes,5615,48
Douglas,2054,51
Gilliam,53,1
Grant,219,1
Harney,235,6
Hood River,1042,27
Jackson,7788,105
Jefferson,1851,25
Josephine,2142,41
Klamath,2695,53
Lake,328,6
Lane,9651,119
Lincoln,1107,18
Linn,3442,51
Malheur,3299,56
Marion,17837,269
Morrow,1001,13
Multnomah,30949,488
Polk,2861,42
Sherman,52,0
Tillamook,388,2
Umatilla,7393,76
Union,1231,19
Wallowa,127,4
Wasco,1204,24
Washington,20441,198
Wheeler,22,1
Yamhill,3588,59
Total,148475,2044
