Hospital_capacity_and_usage_as_reported_to_HOSCAP,Available,Total
Adult ICU beds,295,748
Adult non-ICU beds,2215,6968
Pediatric NICU/PICU beds,80,198
Pediatric non-ICU beds,150,294
Ventilators,768,
