County,Cases1,Deaths2,Negatives3
Baker,90,2,1466
Benton,244,6,11651
Clackamas,2168,59,55378
Clatsop,102,0,5120
Columbia,144,1,6412
Coos,132,0,6151
Crook,59,1,2404
Curry,26,0,1533
Deschutes,726,12,27075
Douglas,191,3,11773
Gilliam,5,0,258
Grant,8,0,824
Harney,12,0,744
Hood River,238,0,4669
Jackson,971,3,30243
Jefferson,488,8,4419
Josephine,178,2,10888
Klamath,243,2,9508
Lake,29,0,814
Lane,866,14,57620
Lincoln,472,13,8244
Linn,431,13,15058
Malheur,1420,22,4645
Marion,4258,87,43727
Morrow,473,4,1607
Multnomah,6584,127,130138
Polk,482,15,8041
Sherman,18,0,322
Tillamook,45,0,2812
Umatilla,2867,41,12349
Union,432,2,3254
Wallowa,23,1,892
Wasco,228,3,4608
Washington,4122,56,84661
Wheeler,0,0,157
Yamhill,709,14,15855
Total,29484,511,585320
