County,Cases1,Deaths2
Baker,1031,15
Benton,3278,22
Clackamas,19001,235
Clatsop,1063,9
Columbia,1933,29
Coos,2181,37
Crook,1298,23
Curry,734,11
Deschutes,10067,82
Douglas,3925,83
Gilliam,81,1
Grant,552,7
Harney,436,9
Hood River,1219,33
Jackson,11597,147
Jefferson,2378,39
Josephine,3640,72
Klamath,4787,78
Lake,469,8
Lane,13959,166
Lincoln,1447,21
Linn,5676,81
Malheur,3623,63
Marion,23527,324
Morrow,1158,16
Multnomah,40479,614
Polk,4025,56
Sherman,70,1
Tillamook,663,4
Umatilla,8641,87
Union,1503,24
Wallowa,194,5
Wasco,1457,30
Washington,26865,249
Wheeler,35,1
Yamhill,4795,79
Total,207787,2761
