County,Cases1,Deaths2,Negatives3
Baker,1,0,137
Benton,51,5,3150
Clackamas,281,9,8429
Clatsop,37,0,1036
Columbia,16,0,1115
Coos,30,0,984
Crook,1,0,384
Curry,4,0,247
Deschutes,95,0,3527
Douglas,24,0,1689
Gilliam,0,0,39
Grant,1,0,88
Harney,1,0,117
Hood River,14,0,834
Jackson,50,0,5227
Jefferson,24,0,593
Josephine,25,1,1510
Klamath,41,0,2772
Lake,0,0,98
Lane,64,2,7054
Lincoln,7,0,1042
Linn,110,8,2962
Malheur,19,0,441
Marion,824,23,6477
Morrow,12,0,126
Multnomah,979,55,19438
Polk,92,9,1289
Sherman,1,0,56
Tillamook,6,0,504
Umatilla,93,2,1213
Union,5,0,201
Wallowa,1,0,73
Wasco,18,1,905
Washington,628,15,12605
Wheeler,0,0,71
Yamhill,57,7,2140
Total,3612,137,88573
