County,Total Cases1,Total deaths2
Baker,919,14
Benton,2934,19
Clackamas,16589,208
Clatsop,956,8
Columbia,1662,26
Coos,2032,32
Crook,1002,20
Curry,634,9
Deschutes,8182,73
Douglas,3164,69
Gilliam,57,1
Grant,493,4
Harney,329,8
Hood River,1166,30
Jackson,10522,131
Jefferson,2139,32
Josephine,3244,67
Klamath,4097,59
Lake,437,7
Lane,12462,144
Lincoln,1358,20
Linn,4580,66
Malheur,3464,61
Marion,21339,302
Morrow,1093,15
Multnomah,37049,575
Polk,3612,52
Sherman,57,1
Tillamook,624,3
Umatilla,8089,84
Union,1436,23
Wallowa,175,5
Wasco,1359,28
Washington,24755,229
Wheeler,26,1
Yamhill,4308,75
Total,186344,2501
