County,Cases1,Deaths2,Negatives3
Baker,112,2,2102
Benton,416,6,16696
Clackamas,2942,65,71142
Clatsop,235,0,6456
Columbia,247,1,8158
Coos,222,0,8318
Crook,83,2,2942
Curry,56,1,2190
Deschutes,1062,13,36069
Douglas,316,4,14654
Gilliam,11,0,348
Grant,10,0,1003
Harney,13,0,910
Hood River,268,1,5661
Jackson,1510,6,39188
Jefferson,593,9,5396
Josephine,257,2,13728
Klamath,397,3,11424
Lake,35,0,1025
Lane,2128,25,74749
Lincoln,508,13,9500
Linn,745,14,19392
Malheur,1847,34,5978
Marion,5509,105,56211
Morrow,540,6,1976
Multnomah,8588,154,166050
Polk,631,15,10955
Sherman,18,0,380
Tillamook,70,0,3438
Umatilla,3267,43,14699
Union,456,2,4859
Unknown,0,0,1
Wallowa,40,2,1123
Wasco,332,15,5690
Washington,5385,70,106170
Wheeler,1,0,182
Yamhill,944,15,19952
Total,39794,628,748715
