County,Cases1,Deaths2
Baker,702,12
Benton,2509,18
Clackamas,13947,196
Clatsop,807,7
Columbia,1313,24
Coos,1806,26
Crook,798,18
Curry,526,8
Deschutes,6201,70
Douglas,2798,58
Gilliam,54,1
Grant,263,2
Harney,283,6
Hood River,1078,29
Jackson,8987,120
Jefferson,2005,31
Josephine,2677,59
Klamath,2927,56
Lake,396,6
Lane,10595,140
Lincoln,1184,20
Linn,3742,59
Malheur,3384,58
Marion,19120,296
Morrow,1055,14
Multnomah,32736,557
Polk,3162,48
Sherman,53,0
Tillamook,472,2
Umatilla,7826,82
Union,1351,20
Wallowa,145,5
Wasco,1237,27
Washington,21972,221
Wheeler,25,1
Yamhill,3880,70
Total,162016,2367
