County,Cases1,Deaths2,Negatives3
Baker,8,0,573
Benton,98,6,6327
Clackamas,894,25,25922
Clatsop,55,0,2589
Columbia,45,0,3074
Coos,48,0,2955
Crook,15,0,1123
Curry,9,0,760
Deschutes,224,0,11750
Douglas,56,0,5533
Gilliam,1,0,113
Grant,1,0,213
Harney,2,0,433
Hood River,98,0,2526
Jackson,157,0,13317
Jefferson,137,0,2150
Josephine,61,1,4744
Klamath,131,1,5358
Lake,22,0,275
Lane,253,3,26515
Lincoln,349,4,4776
Linn,165,10,7158
Malheur,235,1,1908
Marion,1697,51,19016
Morrow,119,1,605
Multnomah,2608,72,58435
Polk,166,12,3120
Sherman,3,0,173
Tillamook,15,0,1491
Umatilla,834,6,4756
Union,363,1,1748
Wallowa,11,0,471
Wasco,97,1,2367
Washington,1676,20,36849
Wheeler,0,0,122
Yamhill,164,9,6205
Total,10817,224,265450
