Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,191,821
Adult non-ICU beds,1649,6748
Pediatric NICU/PICU beds,74,313
Pediatric non-ICU beds,144,347
Ventilators,784,
