County,Total Cases1,Total deaths2
Baker,801,13
Benton,2653,18
Clackamas,14891,201
Clatsop,867,8
Columbia,1495,25
Coos,1934,30
Crook,839,19
Curry,575,9
Deschutes,6741,72
Douglas,2993,65
Gilliam,55,1
Grant,341,4
Harney,300,6
Hood River,1099,29
Jackson,9647,126
Jefferson,2043,32
Josephine,2961,62
Klamath,3268,57
Lake,409,7
Lane,11219,144
Lincoln,1268,20
Linn,4008,61
Malheur,3416,58
Marion,19759,298
Morrow,1069,15
Multnomah,34192,564
Polk,3354,51
Sherman,56,0
Tillamook,564,2
Umatilla,7917,83
Union,1403,23
Wallowa,156,5
Wasco,1258,28
Washington,22964,229
Wheeler,25,1
Yamhill,4028,74
Total,170568,2440
