County,Positive,Deaths,Negative
Baker,0,0,66
Benton,29,5,827
Clackamas,204,6,4703
Clatsop,6,0,436
Columbia,14,0,631
Coos,14,0,508
Crook,1,0,179
Curry,4,0,139
Deschutes,75,0,1735
Douglas,23,0,908
Gilliam,0,0,20
Grant,1,0,48
Harney,0,0,48
Hood River,5,0,427
Jackson,49,0,3889
Jefferson,6,0,197
Josephine,20,1,978
Klamath,36,0,1810
Lake,0,0,67
Lane,50,2,3021
Lincoln,5,0,478
Linn,79,7,1641
Malheur,7,0,229
Marion,447,15,3900
Morrow,5,0,78
Multnomah,664,37,11261
Polk,38,1,732
Sherman,1,0,25
Tillamook,6,0,261
Umatilla,36,0,612
Union,4,0,111
Wallowa,1,0,29
Wasco,12,1,543
Washington,475,11,7069
Wheeler,0,0,11
Yamhill,37,6,1226
Total,2354,92,48843
