County,Total Cases1,Total deaths2
Baker,779,12
Benton,2608,18
Clackamas,14490,197
Clatsop,848,7
Columbia,1420,24
Coos,1903,29
Crook,821,18
Curry,562,9
Deschutes,6456,70
Douglas,2926,60
Gilliam,54,1
Grant,291,4
Harney,294,6
Hood River,1085,29
Jackson,9381,121
Jefferson,2022,31
Josephine,2853,60
Klamath,3086,57
Lake,406,7
Lane,10907,143
Lincoln,1230,20
Linn,3890,60
Malheur,3402,58
Marion,19481,297
Morrow,1064,15
Multnomah,33569,558
Polk,3275,48
Sherman,53,0
Tillamook,531,2
Umatilla,7884,82
Union,1390,22
Wallowa,151,5
Wasco,1245,27
Washington,22526,224
Wheeler,25,1
Yamhill,3974,70
Total,166882,2392
