County,Cases1,Deaths2,Negatives3
Baker,113,2,2120
Benton,418,6,16936
Clackamas,2990,65,72314
Clatsop,234,0,6530
Columbia,249,1,8257
Coos,229,0,8412
Crook,87,2,2991
Curry,56,1,2255
Deschutes,1074,13,36533
Douglas,331,4,14789
Gilliam,11,0,354
Grant,10,0,1013
Harney,17,0,918
Hood River,272,1,5694
Jackson,1555,6,39864
Jefferson,597,9,5449
Josephine,258,3,14054
Klamath,401,3,11484
Lake,34,0,1031
Lane,2212,26,75773
Lincoln,509,13,9562
Linn,764,14,19735
Malheur,1866,34,6097
Marion,5590,106,56985
Morrow,542,6,1989
Multnomah,8743,155,168450
Polk,639,15,11196
Sherman,18,0,383
Tillamook,70,0,3483
Umatilla,3295,43,14835
Union,458,2,4979
Unknown,0,0,1
Wallowa,40,2,1136
Wasco,335,15,5737
Washington,5469,73,107680
Wheeler,1,0,182
Yamhill,956,15,20291
Total,40443,635,759492
