Updated_5/14/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"194,542"
Total deaths,"2,582"
Positive tests,"279,579"
Negative tests,"4,621,600"
Total tests,"4,901,179"
