Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,190,757
Adult non-ICU beds,1026,4514
Pediatric NICU/PICU beds,77,286
Pediatric non-ICU beds,127,341
Ventilators,781,
