County,Cases1,Deaths2
Baker,661,9
Benton,2348,16
Clackamas,13410,176
Clatsop,775,6
Columbia,1271,21
Coos,1500,20
Crook,776,18
Curry,429,6
Deschutes,5962,60
Douglas,2505,55
Gilliam,54,1
Grant,223,1
Harney,275,6
Hood River,1069,29
Jackson,8448,113
Jefferson,1962,28
Josephine,2361,52
Klamath,2796,55
Lake,378,6
Lane,10311,128
Lincoln,1136,20
Linn,3597,57
Malheur,3351,58
Marion,18513,285
Morrow,1050,14
Multnomah,31920,532
Polk,3069,42
Sherman,53,0
Tillamook,417,2
Umatilla,7671,82
Union,1285,19
Wallowa,142,4
Wasco,1221,26
Washington,21287,212
Wheeler,22,1
Yamhill,3789,65
Total,156037,2225
