County,Cases1,Deaths2
Baker,422,5
Benton,1254,11
Clackamas,9393,111
Clatsop,513,3
Columbia,776,12
Coos,687,6
Crook,411,7
Curry,261,3
Deschutes,3702,20
Douglas,1328,37
Gilliam,33,1
Grant,168,1
Harney,128,1
Hood River,750,11
Jackson,5487,64
Jefferson,1324,16
Josephine,1057,20
Klamath,1743,16
Lake,187,4
Lane,6470,84
Lincoln,835,17
Linn,2463,32
Malheur,2794,50
Marion,12976,203
Morrow,785,8
Multnomah,23990,381
Polk,1819,25
Sherman,31,0
Tillamook,278,0
Umatilla,5300,56
Union,965,13
Wallowa,75,3
Wasco,826,22
Washington,15072,138
Wheeler,16,0
Yamhill,2502,34
Total,106821,1415
