Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,196,736
Adult non-ICU beds,1671,6424
Pediatric NICU/PICU beds,95,281
Pediatric non-ICU beds,124,329
Ventilators,798,
