County,Cases1,Total deaths2,Negative tests3
Baker,101,2,1957
Benton,348,6,14709
Clackamas,2526,63,65395
Clatsop,225,0,6080
Columbia,198,1,7495
Coos,173,0,7418
Crook,63,1,2714
Curry,32,0,1914
Deschutes,898,12,32339
Douglas,253,4,13494
Gilliam,8,0,290
Grant,10,0,923
Harney,12,0,833
Hood River,254,0,5108
Jackson,1245,6,35046
Jefferson,558,8,4961
Josephine,215,2,12373
Klamath,300,3,10482
Lake,33,0,927
Lane,1440,19,66824
Lincoln,484,13,8940
Linn,562,13,17287
Malheur,1677,30,5455
Marion,4887,98,49952
Morrow,519,6,1833
Multnomah,7455,144,147126
Polk,549,15,9584
Sherman,18,0,345
Tillamook,54,0,3154
Umatilla,3084,42,13570
Union,446,2,4535
Wallowa,33,1,1025
Wasco,305,5,5211
Washington,4746,61,94974
Wheeler,0,0,164
Yamhill,800,14,17648
Total,34511,571,667392
