County,Cases1,Deaths2
Baker,867,14
Benton,2777,19
Clackamas,15557,204
Clatsop,907,8
Columbia,1561,26
Coos,1986,31
Crook,895,19
Curry,604,9
Deschutes,7312,72
Douglas,3065,66
Gilliam,57,1
Grant,430,4
Harney,315,6
Hood River,1135,29
Jackson,10077,129
Jefferson,2077,32
Josephine,3100,62
Klamath,3571,59
Lake,417,7
Lane,11802,144
Lincoln,1305,20
Linn,4222,63
Malheur,3433,58
Marion,20393,299
Morrow,1084,15
Multnomah,35310,570
Polk,3484,52
Sherman,57,1
Tillamook,588,3
Umatilla,8000,83
Union,1418,23
Wallowa,158,5
Wasco,1304,28
Washington,23704,229
Wheeler,26,1
Yamhill,4136,75
Total,177134,2466
