County,Cases1,Total deaths2,Negative tests3
Baker,5,0,512
Benton,93,5,6241
Clackamas,821,25,23851
Clatsop,51,0,2462
Columbia,36,0,2824
Coos,42,0,2745
Crook,12,0,1078
Curry,8,0,722
Deschutes,211,0,10994
Douglas,46,0,5121
Gilliam,1,0,97
Grant,1,0,194
Harney,1,0,415
Hood River,88,0,2379
Jackson,147,0,12509
Jefferson,132,0,2020
Josephine,52,1,4319
Klamath,130,1,5081
Lake,21,0,251
Lane,208,3,24379
Lincoln,346,3,4734
Linn,157,9,6979
Malheur,191,1,1698
Marion,1610,47,17381
Morrow,93,1,520
Multnomah,2417,69,53268
Polk,159,12,2946
Sherman,2,0,149
Tillamook,14,0,1359
Umatilla,716,6,4071
Union,355,1,1712
Wallowa,10,0,436
Wasco,88,1,2253
Washington,1534,20,33807
Wheeler,0,0,122
Yamhill,132,8,5467
Total,9930,213,245096
