County,Cases1,Deaths2
Baker,988,15
Benton,3232,22
Clackamas,18695,234
Clatsop,1026,8
Columbia,1882,29
Coos,2155,37
Crook,1262,23
Curry,683,10
Deschutes,9903,80
Douglas,3748,80
Gilliam,72,1
Grant,547,7
Harney,410,9
Hood River,1216,33
Jackson,11400,146
Jefferson,2351,38
Josephine,3521,72
Klamath,4746,76
Lake,466,7
Lane,13745,156
Lincoln,1410,21
Linn,5487,79
Malheur,3594,63
Marion,23220,322
Morrow,1146,16
Multnomah,40031,611
Polk,3930,55
Sherman,65,1
Tillamook,660,4
Umatilla,8507,86
Union,1486,24
Wallowa,193,5
Wasco,1434,29
Washington,26604,247
Wheeler,34,1
Yamhill,4738,79
Total,204587,2726
