County,Total Cases1,Total deaths2
Baker,990,15
Benton,3236,22
Clackamas,18723,234
Clatsop,1026,8
Columbia,1885,29
Coos,2157,37
Crook,1271,23
Curry,684,10
Deschutes,9918,80
Douglas,3778,80
Gilliam,75,1
Grant,547,7
Harney,412,9
Hood River,1215,33
Jackson,11415,146
Jefferson,2354,38
Josephine,3525,72
Klamath,4751,77
Lake,466,7
Lane,13768,158
Lincoln,1412,21
Linn,5496,79
Malheur,3597,63
Marion,23245,322
Morrow,1146,16
Multnomah,40063,611
Polk,3933,55
Sherman,66,1
Tillamook,660,4
Umatilla,8517,86
Union,1486,24
Wallowa,193,5
Wasco,1434,29
Washington,26642,247
Wheeler,35,1
Yamhill,4744,79
Total,204865,2729
