County,Cases1,Total deaths2,Negatives
Baker,517,5,0
Benton,1558,12,0
Clackamas,11082,119,0
Clatsop,626,3,0
Columbia,961,16,0
Coos,884,13,0
Crook,530,8,0
Curry,306,3,0
Deschutes,4541,27,0
Douglas,1554,42,0
Gilliam,45,1,0
Grant,174,1,0
Harney,156,3,0
Hood River,903,20,0
Jackson,6524,80,0
Jefferson,1603,20,0
Josephine,1487,28,0
Klamath,2260,26,0
Lake,219,4,0
Lane,7705,96,0
Lincoln,950,17,0
Linn,2946,36,0
Malheur,3041,51,0
Marion,15440,223,0
Morrow,885,9,0
Multnomah,27137,411,0
Polk,2275,34,0
Sherman,47,0,0
Tillamook,355,2,0
Umatilla,6304,60,0
Union,1055,16,0
Wallowa,92,3,0
Wasco,997,22,0
Washington,17506,155,0
Wheeler,17,1,0
Yamhill,3001,37,0
Total,125683,1605,0
