County,Cases1,Total deaths2,Negatives
Baker,431,5,0
Benton,1293,11,0
Clackamas,9476,111,0
Clatsop,518,3,0
Columbia,799,12,0
Coos,690,6,0
Crook,429,7,0
Curry,264,3,0
Deschutes,3801,21,0
Douglas,1351,37,0
Gilliam,33,1,0
Grant,168,1,0
Harney,130,1,0
Hood River,769,11,0
Jackson,5551,64,0
Jefferson,1378,16,0
Josephine,1059,20,0
Klamath,1743,16,0
Lake,189,4,0
Lane,6617,85,0
Lincoln,839,17,0
Linn,2524,32,0
Malheur,2803,50,0
Marion,13104,206,0
Morrow,793,8,0
Multnomah,24471,383,0
Polk,1831,25,0
Sherman,31,0,0
Tillamook,288,0,0
Umatilla,5379,56,0
Union,967,13,0
Wallowa,76,3,0
Wasco,835,22,0
Washington,15157,138,0
Wheeler,16,0,0
Yamhill,2523,34,0
Total,108326,1422,0
