County,Cases1,Deaths2
Baker,939,14
Benton,3016,19
Clackamas,17016,209
Clatsop,969,8
Columbia,1695,26
Coos,2046,33
Crook,1057,20
Curry,640,9
Deschutes,8553,73
Douglas,3217,70
Gilliam,58,1
Grant,506,5
Harney,336,8
Hood River,1178,30
Jackson,10681,133
Jefferson,2162,34
Josephine,3296,68
Klamath,4260,61
Lake,444,7
Lane,12744,145
Lincoln,1367,20
Linn,4774,67
Malheur,3491,61
Marion,21664,305
Morrow,1099,15
Multnomah,37678,580
Polk,3691,52
Sherman,58,1
Tillamook,633,3
Umatilla,8131,84
Union,1443,23
Wallowa,180,5
Wasco,1366,28
Washington,25188,229
Wheeler,28,1
Yamhill,4382,75
Total,189986,2522
