County,Positive,Deaths,Negative
Baker,0,0,41
Benton,27,4,613
Clackamas,154,5,3263
Clatsop,6,0,340
Columbia,14,0,444
Coos,1,0,393
Crook,1,0,135
Curry,4,0,105
Deschutes,63,0,1290
Douglas,22,0,651
Gilliam,0,0,16
Grant,1,0,40
Harney,0,0,45
Hood River,4,0,349
Jackson,49,0,3404
Jefferson,1,0,123
Josephine,19,1,804
Klamath,31,0,1193
Lake,0,0,52
Lane,46,1,1900
Lincoln,4,0,314
Linn,59,6,1272
Malheur,5,0,178
Marion,335,13,2806
Morrow,5,0,55
Multnomah,493,28,8147
Polk,32,1,554
Sherman,1,0,16
Tillamook,6,0,190
Umatilla,25,0,459
Union,4,0,88
Wallowa,1,0,21
Wasco,10,0,392
Washington,387,7,5095
Wheeler,0,0,7
Yamhill,34,6,944
Total,1844,72,35739
