County,Cases1,Total deaths2,Negative tests3,,,
Baker,215,3,2609,,,
Benton,617,7,20590,,,
Clackamas,4590,73,86170,,,
Clatsop,303,0,7649,,,
Columbia,353,2,9652,,,
Coos,338,1,10249,,,
Crook,168,5,3683,,,
Curry,83,2,2625,,,
Deschutes,1645,14,44132,,,
Douglas,619,10,17254,,,
Gilliam,19,0,404,,,
Grant,66,0,1221,,,
Harney,65,0,1099,,,
Hood River,320,1,6369,,,
Jackson,2842,10,46897,,,
Jefferson,685,11,6282,,,
Josephine,345,4,16512,,,
Klamath,525,3,12796,,,
Lake,63,0,1190,,,
Lane,3259,34,90006,,,
Lincoln,544,13,10862,,,
Linn,1095,17,23280,,,
Malheur,2177,38,6919,,,
Marion,7500,124,69027,,,
Morrow,594,7,2289,,,
Multnomah,12700,195,200176,,,
Polk,891,15,13921,,,
Sherman,23,0,433,,,
Tillamook,100,0,3994,,,
Umatilla,3873,47,16840,,,
Union,598,2,5769,,,
Wallowa,69,2,1378,,,
Wasco,416,17,6579,,,
Washington,7825,89,127671,,,
Wheeler,1,0,202,,,
Yamhill,1354,15,24370,,,
Total,56880,761,901099,,,
