Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,222,771
Adult non-ICU beds,1084,4424
Pediatric NICU/PICU beds,77,282
Pediatric non-ICU beds,133,345
Ventilators,790,
