County,Cases1,Deaths2
Baker,960,14
Benton,3133,20
Clackamas,17723,214
Clatsop,995,8
Columbia,1760,29
Coos,2098,35
Crook,1140,22
Curry,647,10
Deschutes,9200,75
Douglas,3309,71
Gilliam,63,1
Grant,523,6
Harney,349,8
Hood River,1194,31
Jackson,10959,141
Jefferson,2222,37
Josephine,3372,71
Klamath,4494,64
Lake,455,7
Lane,13154,149
Lincoln,1389,21
Linn,5034,68
Malheur,3530,63
Marion,22259,309
Morrow,1113,16
Multnomah,38744,593
Polk,3794,53
Sherman,58,1
Tillamook,652,3
Umatilla,8236,84
Union,1451,23
Wallowa,185,5
Wasco,1384,28
Washington,25768,233
Wheeler,32,1
Yamhill,4503,76
Total,195882,2590
