Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,197,761
Adult non-ICU beds,1133,4535
Pediatric NICU/PICU beds,71,286
Pediatric non-ICU beds,130,341
Ventilators,779,
