County,Cases1,Deaths2,Negatives3
Baker,1,0,247
Benton,57,5,3836
Clackamas,324,12,12440
Clatsop,45,0,1610
Columbia,16,0,1627
Coos,31,0,1627
Crook,6,0,612
Curry,7,0,385
Deschutes,128,0,5940
Douglas,28,0,2875
Gilliam,0,0,59
Grant,1,0,105
Harney,1,0,236
Hood River,28,0,1179
Jackson,68,0,7295
Jefferson,45,0,1022
Josephine,23,1,2424
Klamath,44,0,3651
Lake,2,0,148
Lane,77,3,11912
Lincoln,18,0,1600
Linn,119,9,4244
Malheur,32,0,739
Marion,999,26,10087
Morrow,12,0,190
Multnomah,1194,62,28120
Polk,101,12,1961
Sherman,1,0,79
Tillamook,6,0,753
Umatilla,123,3,1776
Union,6,0,455
Wallowa,2,0,152
Wasco,28,1,1274
Washington,752,18,18403
Wheeler,0,0,99
Yamhill,74,7,3081
Total,4399,159,132243
