Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,206,788
Adult non-ICU beds,1721,6671
Pediatric NICU/PICU beds,93,314
Pediatric non-ICU beds,144,339
Ventilators,786,
