County,Cases1,Deaths2
Baker,542,5
Benton,1618,13
Clackamas,11369,128
Clatsop,646,4
Columbia,989,18
Coos,913,14
Crook,569,9
Curry,315,4
Deschutes,4723,31
Douglas,1614,43
Gilliam,47,1
Grant,182,1
Harney,161,3
Hood River,922,20
Jackson,6682,82
Jefferson,1649,24
Josephine,1625,29
Klamath,2337,30
Lake,224,5
Lane,7948,105
Lincoln,966,17
Linn,3034,38
Malheur,3100,51
Marion,15740,233
Morrow,906,9
Multnomah,27705,438
Polk,2353,38
Sherman,47,0
Tillamook,357,2
Umatilla,6470,64
Union,1070,16
Wallowa,92,3
Wasco,1025,23
Washington,18086,164
Wheeler,17,1
Yamhill,3066,42
Total,129109,1708
