County,Cases1,Total deaths2,Negative tests3
Baker,38,0,1061
Benton,169,6,8700
Clackamas,1523,40,40376
Clatsop,85,0,3805
Columbia,94,0,4579
Coos,91,0,4106
Crook,47,1,1788
Curry,15,0,1069
Deschutes,596,10,19007
Douglas,150,1,8364
Gilliam,4,0,197
Grant,4,0,543
Harney,10,0,584
Hood River,184,0,3799
Jackson,461,2,19781
Jefferson,355,4,3426
Josephine,114,2,7011
Klamath,201,2,7496
Lake,32,0,533
Lane,579,3,43621
Lincoln,414,9,6926
Linn,277,10,11155
Malheur,768,14,3441
Marion,2883,70,31940
Morrow,354,3,1209
Multnomah,4849,94,93607
Polk,313,12,5293
Sherman,16,0,265
Tillamook,34,0,2125
Umatilla,2251,28,9449
Union,394,2,2530
Wallowa,19,1,711
Wasco,189,3,3702
Washington,3047,25,59724
Wheeler,0,0,139
Yamhill,450,13,10296
Total,21010,355,422358
