County,Cases1,Deaths2
Baker,589,5
Benton,1917,14
Clackamas,12562,145
Clatsop,732,5
Columbia,1116,19
Coos,1105,16
Crook,692,15
Curry,333,5
Deschutes,5434,45
Douglas,1864,48
Gilliam,53,1
Grant,218,1
Harney,195,6
Hood River,1019,24
Jackson,7501,101
Jefferson,1777,25
Josephine,1989,36
Klamath,2638,52
Lake,270,6
Lane,9195,113
Lincoln,1069,18
Linn,3335,50
Malheur,3261,56
Marion,17317,259
Morrow,990,11
Multnomah,30097,474
Polk,2717,41
Sherman,49,0
Tillamook,379,2
Umatilla,7167,74
Union,1181,18
Wallowa,102,3
Wasco,1168,23
Washington,19895,191
Wheeler,22,1
Yamhill,3425,55
Total,143373,1958
