County,Cases1,Deaths2,Negatives3
Baker,4,0,489
Benton,84,5,6124
Clackamas,751,24,22687
Clatsop,49,0,2410
Columbia,30,0,2716
Coos,41,0,2682
Crook,10,0,1060
Curry,7,0,674
Deschutes,183,0,10630
Douglas,42,0,5010
Gilliam,0,0,95
Grant,1,0,191
Harney,1,0,402
Hood River,88,0,2295
Jackson,117,0,12091
Jefferson,118,0,1947
Josephine,33,1,4179
Klamath,123,0,4983
Lake,19,0,247
Lane,165,3,23202
Lincoln,324,2,4571
Linn,151,9,6716
Malheur,124,1,1499
Marion,1539,47,16750
Morrow,64,1,474
Multnomah,2239,69,50667
Polk,149,12,2854
Sherman,1,0,146
Tillamook,11,0,1239
Umatilla,533,4,3549
Union,342,1,1674
Wallowa,10,0,431
Wasco,73,1,2180
Washington,1379,20,32140
Wheeler,0,0,120
Yamhill,126,8,5305
Total,8931,208,"234,429"
