County,Cases1,Deaths2,Negatives3
Baker,1,0,290
Benton,62,5,4154
Clackamas,377,12,13604
Clatsop,45,0,1726
Columbia,16,0,1742
Coos,32,0,1732
Crook,6,0,674
Curry,7,0,415
Deschutes,135,0,6438
Douglas,29,0,3193
Gilliam,0,0,68
Grant,1,0,112
Harney,1,0,252
Hood River,59,0,1535
Jackson,71,0,7851
Jefferson,58,0,1143
Josephine,23,1,2660
Klamath,46,0,3846
Lake,2,0,170
Lane,81,3,13490
Lincoln,155,0,2145
Linn,125,9,4794
Malheur,34,1,812
Marion,1058,27,11039
Morrow,13,0,212
Multnomah,1302,65,30402
Polk,103,12,2093
Sherman,1,0,113
Tillamook,6,0,829
Umatilla,144,3,1953
Union,6,0,516
Wallowa,3,0,173
Wasco,35,1,1560
Washington,800,18,19695
Wheeler,0,0,101
Yamhill,85,7,3394
Total,4922,164,"144,926"
