Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,161,723
Adult non-ICU beds,617,"4,537"
Pediatric NICU/PICU beds,126,391
Pediatric non-ICU beds,95,337
Ventilators,710,
