County,Cases1,Deaths2,Negatives3
Baker,25,0,883
Benton,148,6,8043
Clackamas,1339,36,37017
Clatsop,73,0,3436
Columbia,73,0,4205
Coos,84,0,3851
Crook,40,1,1634
Curry,14,0,988
Deschutes,509,5,16865
Douglas,123,1,7603
Gilliam,3,0,152
Grant,2,0,499
Harney,8,0,538
Hood River,162,0,3489
Jackson,335,1,18154
Jefferson,293,3,2997
Josephine,98,1,6416
Klamath,185,1,6717
Lake,32,0,468
Lane,484,3,39445
Lincoln,385,8,6564
Linn,233,10,10241
Malheur,634,9,3002
Marion,2533,67,28166
Morrow,271,2,1048
Multnomah,4260,90,83749
Polk,276,12,4616
Sherman,8,0,238
Tillamook,24,0,1948
Umatilla,1902,22,8562
Union,386,2,2351
Wallowa,19,1,639
Wasco,152,3,3176
Washington,2700,22,53764
Wheeler,0,0,135
Yamhill,318,10,8909
Total,18131,316,380508
