County,Cases1,Deaths2
Baker,619,7
Benton,2198,16
Clackamas,13114,169
Clatsop,763,6
Columbia,1180,21
Coos,1301,17
Crook,751,18
Curry,374,6
Deschutes,5795,56
Douglas,2247,51
Gilliam,53,1
Grant,221,1
Harney,262,6
Hood River,1051,29
Jackson,8004,107
Jefferson,1900,27
Josephine,2213,47
Klamath,2729,54
Lake,364,6
Lane,9919,121
Lincoln,1117,19
Linn,3513,54
Malheur,3317,58
Marion,18030,278
Morrow,1018,13
Multnomah,31344,513
Polk,2935,42
Sherman,52,0
Tillamook,398,2
Umatilla,7475,79
Union,1257,19
Wallowa,139,4
Wasco,1213,25
Washington,20698,208
Wheeler,22,1
Yamhill,3671,62
Total,151257,2143
