Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,268,768
Adult non-ICU beds,1199,4561
Pediatric NICU/PICU beds,102,282
Pediatric non-ICU beds,159,334
Ventilators,792,
