County,Cases1,Deaths2,Negatives3
Baker,152,3,2351
Benton,474,6,19283
Clackamas,3535,69,78887
Clatsop,268,0,7004
Columbia,285,2,8987
Coos,273,1,9354
Crook,118,4,3282
Curry,66,2,2449
Deschutes,1308,13,40109
Douglas,400,8,15960
Gilliam,17,0,376
Grant,18,0,1073
Harney,39,0,986
Hood River,291,1,6013
Jackson,1998,7,43312
Jefferson,613,11,5891
Josephine,279,4,15246
Klamath,444,3,12114
Lake,47,0,1115
Lane,2633,28,84303
Lincoln,522,13,10097
Linn,923,17,21833
Malheur,2008,38,6502
Marion,6375,114,63598
Morrow,560,7,2129
Multnomah,10139,175,183460
Polk,719,15,12623
Sherman,23,0,396
Tillamook,80,0,3755
Umatilla,3509,45,15875
Union,503,2,5362
Wallowa,58,2,1253
Wasco,368,16,6109
Washington,6356,80,117470
Wheeler,1,0,187
Yamhill,1058,15,22200
Total,46460,701,830944
